,year,title,abstract
3,0,Managing Technical Debt in XP Teams,
5,0,Challenges in Explaining Source Code Quality Assessment,
6,0,Architectural Technical Debt-can it be prevented with a software project generator?,"Architectural Technical Debt (ATD) is a challenge that many of today’s companies aim to overcome. ATD concerns the overall structure and architecture of a softwareintensive system and can be described as the unresolved shortcuts developers take under circumstances of e.g. time pressure and uncertain requirements. Planning and constructing a well-thought-out architecture is time consuming and resource-intensive and if not done carefully, it can cause ATD. This thesis aims to investigate if it is possible to prevent the rise of ATD with a software project generator and how to maintain it. We have carried out a study following the design science research paradigm at a case company, Jayway by Devoteam. We conducted both literature and empirical studies to better understand the current situation at the case company and based on that proposed a feasible solution. According to our findings, a project generator tool can mitigate the causes of ATD at the beginning of a project. However, ATD can be introduced later on due to various factors, for instance negligence of best practices. Moreover, we concluded that the most suitable way for maintaining such a tool is adopting Inner Source."
7,0,A Survey of Software Architectural Change Detection and Categorization Techniques,
8,1974,The mythical man-month,"The more complex is a problem, it does not always put more people to help solve the problem."
9,1982,Robust tests for heteroscedasticity based on regression quantiles,
10,1986,"Influential observations, high leverage points, and outliers in linear regression",
12,1992,Foundations for the study of software architecture,"The purpose of this paper is to build the foundation for software architecture. We first develop an intuition for software architecture by appealing to several well-established architectural disciplines. On the basis of this intuition, we present a model of software architecture that consists of three components: elements, form, and rationale. Elements are either processing, data, or connecting elements. Form is defined in terms of the properties of, and the relationships among, the elements --- that is, the constraints on the elements. The rationale provides the underlying basis for the architecture in terms of the system constraints, which most often derive from the system requirements. We discuss the components of the model in the context of both architectures and architectural styles and present an extended example to illustrate some important architecture and style considerations. We conclude by presenting some of the benefits of our approach to software architecture, summarizing our contributions, and relating our approach to other current work."
11,1992,The WyCash Portfolio Management System,
13,1994,A Metrics Suite for Object Oriented Design,"Given the central role that software development plays in the delivery and application of information technology, managers are increasingly focusing on process improvement in the software development area. This demand has spurred the provision of a number of new and/or improved approaches to software development, with perhaps the most prominent being object-orientation (OO). In addition, the focus on process improvement has increased the demand for software measures, or metrics with which to manage the process. The need for such metrics is particularly acute when an organization is adopting a new technology for which established practices have yet to be developed. This research addresses these needs through the development and implementation of a new suite of metrics for OO design. Metrics developed in previous research, while contributing to the field's understanding of software development processes, have generally been subject to serious criticisms, including the lack of a theoretical base. Following Wand and Weber (1989), the theoretical base chosen for the metrics was the ontology of Bunge (1977). Six design metrics are developed, and then analytically evaluated against Weyuker's (1988) proposed set of measurement principles. An automated data collection tool was then developed and implemented to collect an empirical sample of these metrics at two field sites in order to demonstrate their feasibility and suggest ways in which managers may use these metrics for process improvement."
14,1995,Management of distributed concurrent development for large scale software systems,"The article discusses a new software process model, distributed concurrent development, and its experience in developing a family of large-scale communication software systems. We have experienced an evolutionary change of our software development process. The change is spread into two dimensions, that is, from sequential to concurrent, and from centralized to distributed. With the concurrent development process model, multiple functions to a single software system are concurrently developed from the beginning of the development process, i.e. requirement specification, to system testing. In the distributed development process model, the development organization is decentralized into multiple development sites which are geographically distributed. The two dimensional changes require a fundamental re-think of our software process and brought about a significant impact on every aspect of software development activities ranging from individual developers to the entire project. We discuss the model, the issues in implementing the model, and our total system of managing the process, project and products."
15,1996,A validation of object-oriented design metrics as quality indicators,"This paper presents the results of a study in which we empirically investigated the suite of object-oriented (OO) design metrics introduced in (Chidamber and Kemerer, 1994). More specifically, our goal is to assess these metrics as predictors of fault-prone classes and, therefore, determine whether they can be used as early quality indicators. This study is complementary to the work described in (Li and Henry, 1993) where the same suite of metrics had been used to assess frequencies of maintenance changes to classes. To perform our validation accurately, we collected data on the development of eight medium-sized information management systems based on identical requirements. All eight projects were developed using a sequential life cycle model, a well-known OO analysis/design method and the C++ programming language. Based on empirical and quantitative analysis, the advantages and drawbacks of these OO metrics are discussed. Several of Chidamber and Kemerer's OO metrics appear to be useful to predict class fault-proneness during the early phases of the life-cycle. Also, on our data set, they are better predictors than ""traditional"" code metrics, which can only be collected at a later phase of the software development processes."
16,1996,Laws of software evolution revisited,"Data obtained during a 1968 study of the software process [8] led to an investigation of the evolution of OS/360 [13] and and, over a period of twenty years, to formulation of eight Laws of Software Evolution. The FEAST project recently initiated (see sections 4–6 below) is expected to throw additional light on the phenomenology underlying these laws, to increase understanding of them, to explore their finer detail, to expose their wider relevance and implications and to develop means for their beneficial exploitation. This paper is intended to trigger wider interest in the laws and in the FEAST study of feedback and feedback control in the context of the software process and its improvement to ensure beneficial exploitation of their potential"
17,1997,"Content analysis: concepts, methods and applications.",
18,2000,"Effects of Process Maturity on Quality, Cycle Time, and Effort in Software Product Development","The information technology (IT) industry is characterized by rapid innovation and intense competition. To survive, IT firms must develop high quality software products on time and at low cost. A key issue is whether high levels of quality can be achieved without adversely impacting cycle time and effort. Conventional beliefs hold that processes to improve software quality can be implemented only at the expense of longer cycle times and greater development effort. However, an alternate view is that quality improvement, faster cycle time, and effort reduction can be simultaneously attained by reducing defects and rework. In this study, we empirically investigate the relationship between process maturity, quality, cycle time, and effort for the development of 30 software products by a major IT firm. We find that higher levels of process maturity as assessed by the Software Engineering Institute's Capability Maturity Model™ are associated with higher product quality, but also with increases in development effort. However, our findings indicate that the reductions in cycle time and effort due to improved quality outweigh the increases from achieving higher levels of process maturity. Thus, the net effect of process maturity is reduced cycle time and development effort."
19,2001,Tactical Approaches for Alleviating Distance in Global Software Development,"To overcome the problem of distance in global software development, various managers are experimenting and quickly adjusting their tactical approaches. We discuss some emerging approaches and explain their motivations from conceptual and practical perspectives. The most intuitive approach for alleviating distance is to apply communication technologies, but this is not our focus. Rather, we examine tactics that go beyond communication technologies, tactics aimed at reducing intensive collaboration, national and organizational cultural differences, and temporal distance."
20,2003,Software architecture in practice,
